action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7800798,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,O=C(O)c1ccccc1O,,,CHEMBL1909046,,,,CHEMBL424,SALICYLIC ACID,CHEMBL424,,0,,1540135,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7800913,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,C#CCN(C)[C@H](C)Cc1ccccc1,,,CHEMBL1909046,,,,CHEMBL972,SELEGILINE,CHEMBL972,,0,,1540143,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7801016,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,,,,CHEMBL1909046,,,,CHEMBL136478,SODIUM NITROPRUSSIDE,CHEMBL2097081,,0,,1540151,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7801846,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,,,CHEMBL1909046,,,,CHEMBL611,TERAZOSIN,CHEMBL611,,0,,1540200,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7801913,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,,,CHEMBL1909046,,,,CHEMBL468,THALIDOMIDE,CHEMBL468,,0,,1540208,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7802390,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,,,CHEMBL1909046,,,,CHEMBL273348,TOSUFLOXACIN,CHEMBL273348,,0,,1540232,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7802471,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,,,CHEMBL1909046,,,,CHEMBL772,RESERPINE,CHEMBL772,,0,,1540111,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7802606,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,,,CHEMBL1909046,,,,CHEMBL923,RISEDRONIC ACID,CHEMBL923,,0,,1540119,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7802711,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,,,CHEMBL1909046,,,,CHEMBL1214185,ROXITHROMYCIN,CHEMBL1214185,,0,,1540127,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7803307,[],CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,,,BAO_0000190,BAO_0000249,cell membrane format,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,,,CHEMBL1909046,,,,CHEMBL27769,STANOLONE,CHEMBL27769,,0,,1540160,,15,0,,Not Active,IC50,,,,CHEMBL231,Homo sapiens,Histamine H1 receptor,9606,Not Active,,IC50,,,,
