canonical_smiles,pIC50
CCOCCn1c(C2CCN(CCOC)CC2)nc2ccccc21,7.031517051446065
CCOCCn1c(C2CCN(CCOCC(=O)OCC)CC2)nc2ccccc21,6.772113295386326
CCOCCn1c(C2CCN(CCOc3ccc(CC(=O)O)cc3)CC2)nc2ccccc21,5.701146923590294
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C)cc3)CC2)nc2ccccc21,6.372634143407268
CCOc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(OC)c(OC)c3)C2)cc(OCC)c1OCC,8.167491087293763
CCOc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(OC)c(OC)c3)C2)cc(OCC)c1OCC.O=C(O)/C=C/C(=O)O,6.801342913045577
CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.739928612014925
CCOc1ccccc1OCC(O)CN1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,7.753255290276159
CC[C@]12CCCN(C(=O)c3cccc(Br)c3)CCc3c(n(c4ccccc34)C(=O)C1)[C@@H]2OC,5.380906669373257
CN(C)C(=O)C1CC2c3ccccc3Cc3ccccc3N2O1,6.0
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,7.530000895043919
CN(C)CC1(C)CC2c3ccccc3Cc3ccccc3N2O1,7.994944195784727
CN(C)CC1CC2c3c(F)cccc3Cc3ccccc3N2O1,6.0
CN(C)CC1CC2c3c(cccc3C(F)(F)F)Cc3ccccc3N2O1,7.320027305722581
CN(C)CC1CC2c3cc(C(F)(F)F)ccc3Cc3ccccc3N2O1,6.0
CN(C)CC1CC2c3cc(F)ccc3Cc3ccc(F)cc3N2O1,7.770062314092066
CN(C)CC1CC2c3cc(F)ccc3Cc3ccccc3N2O1,8.419987887470576
CN(C)CC1CC2c3cccc(C(F)(F)F)c3Cc3ccccc3N2O1,7.430041181903406
CN(C)CC1CC2c3cccc(Cl)c3Cc3ccccc3N2O1,6.0
CN(C)CC1CC2c3cccc(F)c3Cc3ccccc3N2O1,8.639974910810603
CN(C)CC1CC2c3ccccc3Cc3c(F)cccc3N2O1,8.759950227887352
CN(C)CC1CC2c3ccccc3Cc3cc(F)ccc3N2O1,8.890084136976206
CN(C)CC1CC2c3ccccc3Cc3ccc(-c4ccccc4)cc3N2O1,8.100015437450608
CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,8.630042392653946
CN(C)CC1CC2c3ccccc3Cc3ccc(F)cc3N2O1,8.590066876668706
CN(C)CC1CC2c3ccccc3Cc3cccc(Cl)c3N2O1,7.809948582240794
CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,7.627491798047911
CN(C)CC1CC2c3ccccc3Cc3ccncc3N2O1,6.0
CN(C)CC1CC2c3ccccc3Oc3ccc(Cl)cc3N2O1,6.98999702587294
CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1,7.779891911959945
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,7.180456064458131
CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,7.079981083971085
CN(C)CCC=C1c2ccccc2CCc2ccccc21,8.320390428220245
CN(C)CCC=C1c2ccccc2COc2ccccc21,9.244125144327509
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,5.495665088197535
CN(C)CCCC1CC2c3ccccc3Cc3ccccc3N2O1,6.17000191130262
CN(C)CCCCC1CC2c3ccccc3Cc3ccccc3N2O1,6.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,7.070581074285707
CN(C)CCCN1c2ccccc2CCc2ccccc21,7.568636235841012
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,7.84518491628705
CN(C)CCCN1c2ccccc2Sc2ccccc21,7.037036533382104
CN(C)CCN(Cc1ccccc1)c1ccccn1,7.400007822415902
CN(C)CCN(Cc1cccs1)c1ccccn1,7.795880017344075
CN(C)CCOC(c1ccccc1)c1ccccc1,4.972815105828027
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,6.496209316942819
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,8.201487466968649
CN(C)CCc1c[nH]c2ccccc12.O=C(O)/C=C/C(=O)O,6.2839966563652006
CN(C)Cc1nc(-c2ccc(C(C)(C)C)cc2)n(-c2cccc(O)c2)n1,5.0
CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12,6.823908740944319
